Date,Open,High,Low,Close,Adj Close,Volume
2020-08-27,0.844580,0.849890,0.840440,0.844400,0.844400,0
2020-08-28,0.845990,0.846600,0.838900,0.846050,0.846050,0
2020-08-31,0.839170,0.841390,0.835870,0.839050,0.839050,0
2020-09-01,0.837580,0.837710,0.832550,0.837590,0.837590,0
2020-09-02,0.838710,0.845730,0.838620,0.838700,0.838700,0
2020-09-03,0.844170,0.848200,0.844020,0.844070,0.844070,0
2020-09-04,0.844330,0.848770,0.842920,0.844610,0.844610,0
2020-09-07,0.844840,0.846470,0.843980,0.844990,0.844990,0
2020-09-08,0.846080,0.849820,0.845400,0.845900,0.845900,0
2020-09-09,0.849680,0.850800,0.845270,0.849600,0.849600,0
2020-09-10,0.847000,0.847250,0.839300,0.847000,0.847000,0
2020-09-11,0.845580,0.845600,0.842000,0.845710,0.845710,0
2020-09-14,0.844340,0.845090,0.841184,0.844400,0.844400,0
2020-09-15,0.842680,0.844490,0.840266,0.842460,0.842460,0
2020-09-16,0.844400,0.846410,0.841538,0.844280,0.844280,0
2020-09-17,0.847150,0.851670,0.845300,0.847210,0.847210,0
2020-09-18,0.843700,0.845220,0.842389,0.844010,0.844010,0
2020-09-21,0.844200,0.852320,0.842247,0.844200,0.844200,0
2020-09-22,0.850210,0.855180,0.849400,0.849762,0.849762,0
2020-09-23,0.854150,0.857270,0.853242,0.854090,0.854090,0
2020-09-24,0.857490,0.859870,0.856091,0.857740,0.857740,0
2020-09-25,0.856630,0.861070,0.855790,0.856660,0.856660,0
2020-09-28,0.859470,0.860830,0.856190,0.859450,0.859450,0
2020-09-29,0.856330,0.857150,0.851670,0.856250,0.856250,0
2020-09-30,0.851590,0.855720,0.850600,0.851640,0.851640,0
2020-10-01,0.852970,0.853380,0.849834,0.852800,0.852800,0
2020-10-02,0.851490,0.854910,0.851281,0.851430,0.851430,0
2020-10-05,0.853100,0.853293,0.847700,0.853210,0.853210,0
2020-10-06,0.848300,0.849810,0.846930,0.848000,0.848000,0
2020-10-07,0.851980,0.852849,0.848796,0.851960,0.851960,0
2020-10-08,0.849940,0.852130,0.848800,0.849800,0.849800,0
2020-10-09,0.849830,0.850430,0.845700,0.849834,0.849834,0
2020-10-12,0.846500,0.848320,0.845500,0.846250,0.846250,0
2020-10-13,0.846440,0.852100,0.846440,0.846300,0.846300,0
2020-10-14,0.851500,0.853120,0.849600,0.851630,0.851630,0
2020-10-15,0.851240,0.855420,0.850300,0.851500,0.851500,0
2020-10-16,0.854280,0.855070,0.851300,0.854180,0.854180,0
2020-10-19,0.853560,0.854340,0.847800,0.853570,0.853570,0
2020-10-20,0.849760,0.850150,0.844600,0.849700,0.849700,0
2020-10-21,0.845360,0.845360,0.841600,0.845320,0.845320,0
2020-10-22,0.843790,0.846500,0.842500,0.843600,0.843600,0
2020-10-23,0.846450,0.848320,0.843200,0.846380,0.846380,0
2020-10-26,0.844000,0.847170,0.843810,0.843990,0.843990,0
2020-10-27,0.846780,0.847500,0.844737,0.846780,0.846780,0
2020-10-28,0.848780,0.853293,0.848300,0.848600,0.848600,0
2020-10-29,0.851250,0.857910,0.850400,0.851160,0.851160,0
2020-10-30,0.856400,0.858880,0.854450,0.856260,0.856260,0
2020-11-02,0.858920,0.860260,0.857854,0.858950,0.858950,0
2020-11-03,0.858900,0.859250,0.851644,0.858900,0.858900,0
2020-11-04,0.850010,0.861500,0.849700,0.850180,0.850180,0
2020-11-05,0.852520,0.853770,0.843400,0.852320,0.852320,0
2020-11-06,0.846440,0.847730,0.841000,0.846200,0.846200,0
2020-11-09,0.840820,0.847640,0.838980,0.840830,0.840830,0
2020-11-10,0.845790,0.848840,0.844340,0.845500,0.845500,0
2020-11-11,0.846050,0.851260,0.845100,0.846110,0.846110,0
2020-11-12,0.848990,0.850370,0.845809,0.848875,0.848875,0
2020-11-13,0.847080,0.847480,0.845030,0.847214,0.847214,0
2020-11-16,0.844290,0.846400,0.842550,0.844220,0.844220,0
2020-11-17,0.843190,0.844200,0.840850,0.843210,0.843210,0
2020-11-18,0.842860,0.843800,0.840972,0.842910,0.842910,0
2020-11-19,0.844390,0.846210,0.843500,0.844050,0.844050,0
2020-11-20,0.842640,0.843750,0.840980,0.842710,0.842710,0
2020-11-23,0.842790,0.847230,0.839920,0.842710,0.842710,0
2020-11-24,0.844466,0.844670,0.840770,0.844400,0.844400,0
2020-11-25,0.840300,0.841550,0.838360,0.840300,0.840300,0
2020-11-26,0.839100,0.841260,0.837451,0.838926,0.838926,0
2020-11-27,0.839500,0.839580,0.835990,0.839208,0.839208,0
2020-11-30,0.835370,0.837230,0.833190,0.835320,0.835320,0
2020-12-01,0.837680,0.837802,0.829630,0.837650,0.837650,0
2020-12-02,0.828510,0.830510,0.825940,0.828200,0.828200,0
2020-12-03,0.825530,0.826280,0.821355,0.825450,0.825450,0
2020-12-04,0.823360,0.824150,0.821170,0.823340,0.823340,0
2020-12-07,0.825040,0.827760,0.822130,0.824990,0.824990,0
2020-12-08,0.825800,0.826640,0.824120,0.825550,0.825550,0
2020-12-09,0.825770,0.828230,0.823113,0.825700,0.825700,0
2020-12-10,0.827700,0.827790,0.822500,0.827900,0.827900,0
2020-12-11,0.823490,0.825910,0.822100,0.823432,0.823432,0
2020-12-14,0.824160,0.825250,0.821420,0.824171,0.824171,0
2020-12-15,0.823130,0.824610,0.821930,0.823120,0.823120,0
